-0.969884	-0.0101365	0.999945	0.0104507	0.969937	-1.56035
-0.721699	-1.34627	0.472468	0.881348	1.52751	-0.492089
-1.03661	-0.219277	0.978351	0.206953	1.05955	-1.36234
0	-1.02	-0	1	1.02	0
-0.582348	-0.126291	0.977283	0.211939	0.595885	-1.35724
0.454795	-0.00261486	-0.999983	0.00574967	0.454802	1.56505
-0.0601227	-1.74258	0.0344815	0.999405	1.74362	-0.0344884
2.00315	-1.00258	-0.894248	0.447572	2.24004	1.10675
1.23473	0.255813	-0.979205	-0.202874	1.26095	1.77509
0.0950094	-1.59679	-0.0593953	0.998235	1.59961	0.0594303
1.68738	-0.0551491	-0.999466	0.0326658	1.68828	1.53812
0.220034	1.41047	-0.154136	-0.98805	1.42753	2.98684
1.85352	-0.20322	-0.994043	0.108987	1.86463	1.46159
2.09863	1.41039	-0.829982	-0.55779	2.52853	2.16252
0.0380996	1.7689	-0.0215337	-0.999768	1.76931	3.12006
1.24093	-0.0160569	-0.999916	0.0129383	1.24103	1.55786
-1.05256	0.00350714	0.999994	-0.00333202	1.05257	-1.57413
-1.38607	0.452141	0.950697	-0.31012	1.45795	-1.88612
