-0.671650	-1.020000
-0.585143	-1.008970

-0.585143	-1.008970
-0.594600	-1.298360

-0.594600	-1.298360
-0.434795	-1.700000

0.231577	-1.840000
0.237143	-1.760000

0.237143	-1.760000
1.403880	-1.800000

1.403880	-1.800000
1.383680	-1.525680

1.383680	-1.525680
1.435930	-1.515440

1.435930	-1.515440
1.440000	-0.900848

1.440000	-0.900848
1.480000	-0.899109

2.200000	1.074160
1.800000	1.126060

1.800000	1.126060
1.840000	1.491920

1.840000	1.491920
1.707380	1.740000

1.707380	1.740000
1.068050	1.746600

1.068050	1.746600
1.073540	2.476240

-1.191060	2.825910
-1.292520	2.394500

-1.292520	2.394500
-1.228640	1.780000

-1.228640	1.780000
-1.295380	1.301050

